Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted
2012-09-07,5309.45,5347.15,5309.2,5342.1,149584722,5590.04,5260.3936
2012-09-08,5343.65,5366.3,5343.45,5358.7,11221064,376.34,5339.809
2012-09-10,5361.9,5375.45,5349.1,5363.45,109607506,4183.01,5366.5527
2012-09-11,5336.1,5393.35,5332.1,5390.0,112878090,4081.42,5375.6016
2012-09-12,5404.45,5435.55,5393.95,5431.0,139920871,4885.71,5391.6973
2012-09-13,5435.2,5447.45,5421.85,5435.35,110774177,4199.37,5431.905
2012-09-14,5528.35,5586.65,5526.95,5577.65,233783031,9263.53,5447.0376
2012-09-17,5631.75,5652.2,5585.15,5610.0,258912780,10924.57,5576.482
2012-09-18,5602.4,5620.55,5586.45,5600.05,175488961,7272.63,5650.135
2012-09-20,5536.95,5581.35,5534.9,5554.25,165684942,6768.88,5623.988
2012-09-21,5577.0,5720.0,5575.45,5691.15,278023825,11101.32,5582.3076
2012-09-24,5691.95,5709.85,5662.75,5669.6,210419441,8380.56,5708.4663
2012-09-25,5674.9,5702.7,5652.45,5673.9,341387116,12551.6,5712.216
2012-09-26,5653.4,5672.8,5638.65,5663.45,170771069,6754.98,5703.0415
2012-09-27,5673.75,5693.7,5639.7,5649.5,238991690,9368.11,5673.4014
2012-09-28,5684.8,5735.15,5683.45,5703.3,163660805,6948.17,5690.6387
2012-10-01,5704.75,5722.95,5694.0,5718.8,123138510,4798.17,5732.09
2012-10-03,5727.7,5743.25,5715.8,5731.25,165037864,6654.02,5723.93
2012-10-04,5751.55,5807.25,5751.35,5787.6,171404290,6954.74,5740.987
2012-10-05,5815.0,5815.35,4888.2,5746.95,255569804,12995.8,5802.547
2012-10-08,5751.85,5751.85,5666.2,5676.0,142319000,5853.56,5814.7007
2012-10-09,5708.15,5728.65,5677.9,5704.6,119300415,5047.01,5753.987
2012-10-10,5671.15,5686.5,5647.05,5652.15,126294361,4564.39,5726.7886
2012-10-11,5663.5,5721.1,5636.95,5708.05,148283847,6542.71,5686.9624
2012-10-12,5681.7,5725.0,5659.35,5676.05,130076802,6475.3,5717.9077
2012-10-15,5674.25,5693.7,5651.05,5687.25,93693482,3962.97,5725.951
2012-10-16,5705.6,5714.0,5635.6,5648.0,117415701,5043.3,5696.8184
2012-10-17,5681.1,5684.35,5633.9,5660.25,123974371,5259.46,5713.022
2012-10-18,5675.3,5722.5,5650.55,5718.7,144097860,6264.78,5687.289
2012-10-19,5703.3,5711.7,5660.0,5684.25,124262817,5410.95,5720.8633
2012-10-22,5667.6,5721.55,5658.05,5717.15,103372318,4994.75,5714.408
2012-10-23,5715.65,5720.8,5681.45,5691.4,81501427,3803.5,5722.639
2012-10-25,5688.8,5718.75,5685.7,5705.3,158343061,7359.34,5722.8677
2012-10-26,5683.55,5697.2,5641.75,5664.3,101663820,4718.97,5721.0723
2012-10-29,5665.2,5698.3,5645.1,5665.6,93555816,3953.86,5700.968
2012-10-30,5656.35,5689.9,5589.9,5597.9,116678775,5550.86,5700.702
2012-10-31,5596.75,5624.4,5583.05,5619.7,112075316,4918.55,5693.6704
2012-11-01,5609.85,5649.75,5601.95,5645.05,107393402,4633.11,5632.1143
2012-11-02,5696.35,5711.3,5682.55,5697.7,111162841,4924.33,5650.8296
2012-11-05,5693.05,5709.2,5679.5,5704.2,74829213,3236.08,5712.008
2012-11-06,5694.1,5730.8,5693.65,5724.4,115018796,4677.92,5715.2017
2012-11-07,5718.6,5777.3,5711.4,5760.1,133740615,5242.18,5733.8013
2012-11-08,5709.0,5744.5,5693.95,5738.75,117590261,4883.9,5778.417
2012-11-09,5731.1,5751.7,5677.75,5686.25,98763127,4833.64,5750.5386
2012-11-12,5688.45,5718.9,5665.75,5683.7,92702799,4082.62,5753.867
2012-11-13,5689.7,5698.25,5660.35,5666.95,16516842,680.72,5723.981
2012-11-15,5650.35,5651.65,5603.55,5631.0,133979470,5554.05,5702.536
2012-11-16,5624.8,5650.15,5559.8,5574.05,121900570,4996.15,5658.14
2012-11-19,5577.3,5592.75,5549.25,5571.4,106988015,4336.84,5653.865
2012-11-20,5604.8,5613.7,5548.35,5571.55,107481297,4399.93,5601.1997
2012-11-21,5582.5,5620.2,5561.4,5614.8,105148728,4228.47,5616.283
2012-11-22,5628.6,5643.35,5608.0,5627.75,94058612,3867.76,5624.886
2012-11-23,5635.45,5637.75,5593.55,5626.6,85082220,3213.06,5646.8384
2012-11-26,5648.65,5649.2,5623.45,5635.9,79291426,3246.23,5642.841
2012-11-27,5658.5,5733.2,5658.0,5727.45,134407735,5380.95,5652.172
2012-11-29,5736.7,5833.5,5736.1,5825.0,207295475,9110.93,5731.5884
2012-11-30,5836.0,5885.25,5827.85,5879.85,257047977,10777.34,5832.8403
2012-12-03,5878.25,5899.15,5854.6,5870.95,113423350,4726.68,5887.924
2012-12-04,5866.8,5894.95,5859.0,5889.25,131020191,4816.7,5902.062
2012-12-05,5906.6,5917.8,5891.35,5900.5,139653957,5583.78,5897.116
2012-12-06,5926.3,5942.55,5838.9,5930.9,140267080,5667.65,5918.304
2012-12-07,5934.0,5949.85,5888.65,5907.4,127607078,5722.45,5944.2397
2012-12-10,5916.05,5919.95,5888.1,5908.9,95975757,4339.84,5953.1665
2012-12-11,5923.8,5965.15,5865.45,5898.8,137415161,6403.06,5924.7764
2012-12-12,5917.8,5924.6,5874.25,5888.0,132665649,6117.63,5965.735
2012-12-13,5900.35,5907.45,5841.35,5851.5,136616335,5976.15,5930.4404
2012-12-14,5846.9,5886.1,5839.15,5879.6,115159830,5012.83,5910.693
2012-12-17,5860.5,5886.05,5850.15,5857.9,109547002,4998.19,5889.5234
2012-12-18,5873.6,5905.8,5823.15,5896.8,148907334,6740.66,5888.6147
2012-12-19,5917.3,5939.4,5910.8,5929.6,149439204,6731.27,5907.9873
2012-12-20,5934.45,5937.6,5881.45,5916.4,123911218,5390.76,5941.435
2012-12-21,5888.0,5888.0,5841.65,5847.7,141152911,5603.96,5941.3184
2012-12-24,5869.0,5871.9,5844.7,5855.75,85336999,3433.98,5892.8267
2012-12-26,5864.95,5917.3,5859.55,5905.6,83871326,3447.53,5873.989
2012-12-27,5930.2,5930.8,5864.7,5870.1,139613235,5955.51,5917.552
2012-12-28,5887.15,5915.75,5879.5,5908.35,89669021,3863.47,5934.805
2013-01-01,5937.65,5963.9,5935.2,5950.85,77902745,3298.74,5920.9297
2013-01-02,5982.6,6006.05,5982.0,5993.25,116057389,4992.9,5965.396
2013-01-03,6015.8,6017.0,5986.55,6009.5,99989933,4883.13,6009.208
2013-01-04,6011.95,6020.75,5981.55,6016.15,113232990,5191.38,6021.721
2013-01-07,6042.15,6042.15,5977.15,5988.4,110248018,5093.62,6024.922
2013-01-08,5983.45,6007.05,5964.4,6001.7,109937502,5247.74,6045.391
2013-01-09,6006.2,6020.1,5958.45,5971.5,129635568,6462.35,6013.179
2013-01-10,5998.8,6005.15,5947.3,5968.65,129767384,6191.88,6023.673
2013-01-11,6012.4,6018.85,5940.6,5951.3,128022002,8228.71,6011.1113
2013-01-14,5967.2,6036.9,5962.15,6024.05,134711348,7279.83,6023.7354
2013-01-15,6037.85,6068.5,6018.6,6056.6,138364003,6978.26,6042.294
2013-01-16,6049.0,6055.95,5992.05,6001.85,128985952,6172.67,6073.5845
2013-01-17,6001.25,6053.2,5988.1,6039.2,178954867,7569.17,6062.662
2013-01-18,6059.85,6083.4,6048.3,6064.4,186460701,8321.15,6058.2993
2013-01-21,6085.75,6094.35,6065.1,6082.3,130866385,6065.99,6087.279
2013-01-22,6080.15,6101.3,6040.5,6048.5,129041713,5744.09,6099.897
2013-01-23,6052.85,6069.8,6021.15,6054.3,136989190,5932.29,6106.8076
2013-01-24,6046.2,6065.3,6007.85,6019.35,185210189,7884.14,6076.4126
